"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","11,397.71","11,346.25","11,410.68","11,325.84","191.07K","0.46%"
"02/05/2026","11,346.04","11,293.17","11,346.04","11,286.51","179.11K","0.47%"
"02/04/2026","11,293.27","11,199.80","11,296.66","11,199.80","155.97K","0.85%"
"02/03/2026","11,197.70","11,132.94","11,216.54","11,082.47","244.57K","0.60%"
"02/02/2026","11,130.84","11,107.92","11,130.84","11,023.31","135.44K","-0.34%"
"01/30/2026","11,168.91","11,346.09","11,346.09","11,119.79","209.21K","-1.52%"
"01/29/2026","11,341.41","11,410.59","11,444.93","11,312.73","196.53K","-0.65%"
"01/28/2026","11,415.71","11,380.10","11,494.40","11,348.00","403.16K","0.31%"
"01/27/2026","11,380.10","11,091.67","11,380.10","11,087.39","270.20K","2.62%"
"01/26/2026","11,089.57","11,077.05","11,090.06","11,031.05","151.93K","0.24%"
"01/23/2026","11,063.54","10,916.62","11,082.67","10,905.31","181.63K","1.36%"
"01/22/2026","10,914.87","10,920.09","10,950.06","10,869.68","193.81K","-0.05%"
"01/21/2026","10,920.15","10,896.57","10,962.84","10,839.35","294.34K","0.22%"
"01/20/2026","10,896.57","10,838.26","10,962.88","10,833.68","226.14K","0.54%"
"01/19/2026","10,838.26","10,737.94","10,846.40","10,737.94","173.55K","1.07%"
"01/16/2026","10,723.26","10,623.96","10,725.80","10,618.80","295.76K","0.91%"
"01/15/2026","10,626.06","10,429.42","10,630.67","10,426.61","282.34K","1.87%"
"01/14/2026","10,431.17","10,309.33","10,433.18","10,245.84","201.96K","1.18%"
"01/13/2026","10,309.33","10,183.82","10,309.33","10,183.47","86.49K","1.23%"
"01/12/2026","10,183.82","10,135.95","10,228.32","10,133.51","133.12K","0.56%"
"01/09/2026","10,127.56","10,105.42","10,146.64","10,057.31","114.49K","0.21%"
"01/08/2026","10,105.95","10,119.42","10,155.47","10,088.77","89.40K","-0.14%"
"01/07/2026","10,119.63","10,149.80","10,149.80","10,060.75","129.10K","-0.26%"
"01/06/2026","10,145.61","10,200.32","10,200.32","10,118.18","284.02K","-0.54%"
"01/05/2026","10,200.32","10,297.12","10,297.12","10,085.37","104.74K","-0.95%"
"01/02/2026","10,298.66","10,424.62","10,424.62","10,253.91","154.80K","-1.21%"
