"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","14,599.12","14,525.35","14,610.76","14,525.35","714.64K","0.51%"
"02/05/2026","14,525.18","14,478.24","14,525.18","14,440.08","721.13K","0.32%"
"02/04/2026","14,478.33","14,387.58","14,482.57","14,387.58","461.08K","0.64%"
"02/03/2026","14,385.85","14,328.37","14,396.12","14,267.07","539.86K","0.41%"
"02/02/2026","14,326.64","14,303.33","14,327.05","14,214.88","480.17K","-0.19%"
"01/30/2026","14,353.47","14,555.38","14,555.38","14,299.76","756.43K","-1.31%"
"01/29/2026","14,543.91","14,614.44","14,639.51","14,506.91","1.12M","-0.51%"
"01/28/2026","14,618.65","14,494.65","14,623.06","14,488.49","1.65M","0.86%"
"01/27/2026","14,494.65","14,175.57","14,503.12","14,175.57","1.18M","2.26%"
"01/26/2026","14,173.84","14,147.18","14,173.84","14,093.65","865.60K","0.27%"
"01/23/2026","14,136.07","13,976.43","14,140.50","13,961.87","1.16M","1.15%"
"01/22/2026","13,974.99","13,948.07","13,976.35","13,910.17","755.34K","0.19%"
"01/21/2026","13,948.12","13,955.69","14,007.22","13,899.73","724.50K","-0.05%"
"01/20/2026","13,955.69","13,898.10","14,009.95","13,878.93","671.51K","0.41%"
"01/19/2026","13,898.10","13,818.11","13,914.80","13,818.11","549.96K","0.67%"
"01/16/2026","13,806.04","13,699.91","13,808.12","13,691.61","820.58K","0.76%"
"01/15/2026","13,701.64","13,441.62","13,707.32","13,441.62","978.81K","1.94%"
"01/14/2026","13,441.43","13,332.42","13,442.78","13,265.76","1.05M","0.82%"
"01/13/2026","13,331.86","13,194.73","13,331.86","13,184.39","421.47K","1.04%"
"01/12/2026","13,194.73","13,143.77","13,220.14","13,134.96","688.43K","0.44%"
"01/09/2026","13,136.87","13,118.74","13,150.92","13,082.54","423.71K","0.13%"
"01/08/2026","13,119.98","13,152.00","13,193.15","13,098.71","386.95K","-0.24%"
"01/07/2026","13,152.00","13,172.11","13,172.11","13,099.38","593.04K","-0.15%"
"01/06/2026","13,172.11","13,223.56","13,227.82","13,132.01","694.50K","-0.39%"
"01/05/2026","13,223.56","13,340.70","13,340.70","13,114.67","668.74K","-0.89%"
"01/02/2026","13,341.96","13,449.95","13,449.95","13,276.15","392.95K","-0.80%"
