"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","6,489.26","6,466.05","6,499.91","6,461.06","459.66K","0.36%"
"02/05/2026","6,465.96","6,450.12","6,468.93","6,430.48","498.72K","0.12%"
"02/04/2026","6,457.94","6,401.24","6,457.94","6,401.24","280.74K","0.90%"
"02/03/2026","6,400.29","6,372.23","6,408.00","6,340.26","410.81K","0.44%"
"02/02/2026","6,372.23","6,365.97","6,372.23","6,314.35","342.26K","-0.25%"
"01/30/2026","6,388.31","6,491.21","6,491.21","6,360.92","509.78K","-1.48%"
"01/29/2026","6,484.50","6,515.79","6,532.52","6,464.62","801.42K","-0.52%"
"01/28/2026","6,518.11","6,453.03","6,519.80","6,453.03","1.19M","1.01%"
"01/27/2026","6,453.03","6,298.01","6,457.18","6,296.43","854.53K","2.41%"
"01/26/2026","6,301.12","6,290.93","6,303.44","6,262.96","504.15K","0.26%"
"01/23/2026","6,284.82","6,221.19","6,289.43","6,211.42","876.94K","1.02%"
"01/22/2026","6,221.19","6,212.54","6,227.49","6,186.13","381.74K","0.14%"
"01/21/2026","6,212.54","6,226.27","6,256.98","6,201.49","493.24K","-0.22%"
"01/20/2026","6,226.27","6,204.80","6,256.51","6,196.71","456.88K","0.35%"
"01/19/2026","6,204.80","6,165.72","6,219.65","6,165.72","359.94K","0.74%"
"01/16/2026","6,159.08","6,103.92","6,159.08","6,100.93","613.78K","0.89%"
"01/15/2026","6,104.87","5,981.96","6,109.11","5,980.62","615.33K","2.10%"
"01/14/2026","5,979.16","5,926.76","5,979.16","5,889.72","876.08K","0.88%"
"01/13/2026","5,926.76","5,853.49","5,926.76","5,849.91","277.72K","1.21%"
"01/12/2026","5,855.77","5,831.92","5,874.54","5,827.70","282.79K","0.47%"
"01/09/2026","5,828.13","5,806.08","5,834.73","5,797.71","244.53K","0.24%"
"01/08/2026","5,814.06","5,828.66","5,850.23","5,803.51","297.26K","-0.25%"
"01/07/2026","5,828.66","5,839.03","5,839.03","5,802.89","464.89K","-0.15%"
"01/06/2026","5,837.13","5,867.11","5,868.15","5,819.01","527.80K","-0.51%"
"01/05/2026","5,867.11","5,920.65","5,920.65","5,807.81","542.86K","-0.92%"
"01/02/2026","5,921.35","5,957.72","5,957.72","5,884.51","345.88K","-0.90%"
