"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","5,728.44","5,596.45","5,756.64","5,596.45","22.20K","2.36%"
"02/05/2026","5,596.45","5,434.67","5,596.45","5,434.67","20.60K","2.97%"
"02/04/2026","5,434.91","5,411.09","5,475.10","5,411.09","7.89K","0.34%"
"02/03/2026","5,416.59","5,359.03","5,422.43","5,339.34","11.27K","0.96%"
"02/02/2026","5,365.22","5,332.16","5,395.93","5,298.96","7.62K","0.62%"
"01/30/2026","5,332.16","5,302.90","5,335.78","5,280.76","33.31K","0.36%"
"01/29/2026","5,312.78","5,271.53","5,331.91","5,262.51","16.24K","0.78%"
"01/28/2026","5,271.46","5,268.62","5,314.25","5,268.62","50.10K","0.12%"
"01/27/2026","5,265.18","5,247.47","5,280.52","5,240.37","29.40K","0.33%"
"01/26/2026","5,247.71","5,209.47","5,247.71","5,186.71","19.33K","0.73%"
"01/23/2026","5,209.47","5,159.59","5,209.47","5,149.43","16.92K","0.99%"
"01/22/2026","5,158.62","5,140.56","5,160.27","5,124.04","10.97K","0.35%"
"01/21/2026","5,140.56","5,114.10","5,146.92","5,102.48","12.78K","0.57%"
"01/20/2026","5,111.45","5,070.89","5,124.38","5,070.89","11.76K","0.80%"
"01/19/2026","5,070.89","5,040.06","5,074.17","5,040.06","6.63K","0.61%"
"01/16/2026","5,040.06","4,942.64","5,053.72","4,942.64","22.62K","1.94%"
"01/15/2026","4,944.08","4,923.65","4,980.89","4,923.65","14.61K","0.46%"
"01/14/2026","4,921.58","4,927.48","4,939.30","4,882.57","9.76K","0.01%"
"01/13/2026","4,921.30","4,897.90","4,921.30","4,838.19","7.45K","0.48%"
"01/12/2026","4,897.90","4,850.07","4,913.43","4,815.80","6.16K","0.96%"
"01/09/2026","4,851.51","4,867.29","4,867.96","4,836.40","4.99K","-0.60%"
"01/08/2026","4,880.78","4,927.24","4,930.82","4,880.78","4.51K","-0.97%"
"01/07/2026","4,928.54","4,930.63","4,954.06","4,906.13","10.30K","-0.04%"
"01/06/2026","4,930.63","4,905.68","4,931.13","4,888.22","6.13K","0.51%"
"01/05/2026","4,905.68","4,965.90","4,978.84","4,895.12","9.73K","-1.21%"
"01/02/2026","4,965.90","5,000.24","5,035.13","4,965.90","4.35K","-0.36%"
