Unnamed: 0.1,Unnamed: 0,VALEUR,SEANCE,Mean_Weighted_Sentiment,Article_Count,Sentiment_Intensity,TUNBANQ_INDICE_JOUR,TUNFIN_INDICE_JOUR,TUNINDEX_INDICE_JOUR,TUNINDEX20_INDICE_JOUR,TUNSAC_INDICE_JOUR,TUNBANQ_INDICE_VEILLE,TUNFIN_INDICE_VEILLE,TUNINDEX_INDICE_VEILLE,TUNINDEX20_INDICE_VEILLE,TUNSAC_INDICE_VEILLE,TUNBANQ_VARIATION_VEILLE,TUNFIN_VARIATION_VEILLE,TUNINDEX_VARIATION_VEILLE,TUNINDEX20_VARIATION_VEILLE,TUNSAC_VARIATION_VEILLE
0.0,0.0,ATTIJARI BANK,2021-01-04,-1.0,1.0,1.0,,,,,,,,,,,,,,,
1.0,1.0,ATTIJARI BANK,2021-01-05,-1.0,1.0,1.0,,,,,,,,,,,,,,,
2.0,2.0,ATTIJARI BANK,2021-01-18,0.375,1.0,0.375,,,,,,,,,,,,,,,
3.0,3.0,ATTIJARI BANK,2021-01-26,0.958,1.0,0.958,,,,,,,,,,,,,,,
4.0,4.0,ATTIJARI BANK,2021-01-27,-0.561,1.0,0.561,,,,,,,,,,,,,,,
5.0,5.0,ATTIJARI BANK,2021-01-31,1.0,1.0,1.0,,,,,,,,,,,,,,,
6.0,6.0,ATTIJARI BANK,2021-02-02,0.771,1.0,0.771,,,,,,,,,,,,,,,
7.0,7.0,ATTIJARI BANK,2021-02-08,-1.0,1.0,1.0,,,,,,,,,,,,,,,
8.0,8.0,ATTIJARI BANK,2021-02-10,0.379,1.0,0.379,,,,,,,,,,,,,,,
9.0,9.0,ATTIJARI BANK,2021-02-11,0.0,1.0,0.0,,,,,,,,,,,,,,,
10.0,10.0,ATTIJARI BANK,2021-02-12,-1.0,1.0,1.0,,,,,,,,,,,,,,,
11.0,11.0,ATTIJARI BANK,2021-02-15,0.717,2.0,1.434,,,,,,,,,,,,,,,
12.0,12.0,ATTIJARI BANK,2021-02-18,0.0,2.0,0.0,,,,,,,,,,,,,,,
13.0,13.0,ATTIJARI BANK,2021-03-15,-0.741,1.0,0.741,,,,,,,,,,,,,,,
14.0,14.0,ATTIJARI BANK,2021-03-24,-1.0,1.0,1.0,,,,,,,,,,,,,,,
15.0,15.0,ATTIJARI BANK,2021-03-26,-1.0,1.0,1.0,,,,,,,,,,,,,,,
16.0,16.0,ATTIJARI BANK,2021-03-29,-0.0095,2.0,1.503,,,,,,,,,,,,,,,
17.0,17.0,ATTIJARI BANK,2021-04-02,0.978,1.0,0.978,,,,,,,,,,,,,,,
18.0,18.0,ATTIJARI BANK,2021-04-05,0.686,1.0,0.686,,,,,,,,,,,,,,,
19.0,19.0,ATTIJARI BANK,2021-04-12,-0.022,2.0,1.956,,,,,,,,,,,,,,,
20.0,20.0,ATTIJARI BANK,2021-04-19,0.823,2.0,1.646,,,,,,,,,,,,,,,
21.0,21.0,ATTIJARI BANK,2021-04-30,0.76,1.0,0.76,,,,,,,,,,,,,,,
22.0,22.0,ATTIJARI BANK,2021-05-06,0.729,1.0,0.729,,,,,,,,,,,,,,,
23.0,23.0,ATTIJARI BANK,2021-05-07,0.481,1.0,0.481,,,,,,,,,,,,,,,
24.0,24.0,ATTIJARI BANK,2021-05-24,0.271,2.0,0.542,,,,,,,,,,,,,,,
25.0,25.0,ATTIJARI BANK,2021-06-05,0.0,1.0,0.0,,,,,,,,,,,,,,,
26.0,26.0,ATTIJARI BANK,2021-07-01,0.67,1.0,0.67,,,,,,,,,,,,,,,
27.0,27.0,ATTIJARI BANK,2021-07-08,0.0,1.0,0.0,,,,,,,,,,,,,,,
28.0,28.0,ATTIJARI BANK,2021-07-15,0.5003333333333333,3.0,1.501,,,,,,,,,,,,,,,
29.0,29.0,ATTIJARI BANK,2021-07-27,1.0,1.0,1.0,,,,,,,,,,,,,,,
30.0,30.0,ATTIJARI BANK,2021-08-31,0.918,1.0,0.918,,,,,,,,,,,,,,,
31.0,31.0,ATTIJARI BANK,2021-09-07,0.778,1.0,0.778,,,,,,,,,,,,,,,
32.0,32.0,ATTIJARI BANK,2021-09-09,-0.893,1.0,0.893,,,,,,,,,,,,,,,
33.0,33.0,ATTIJARI BANK,2021-09-13,0.965,1.0,0.965,,,,,,,,,,,,,,,
34.0,34.0,ATTIJARI BANK,2021-09-21,0.637,1.0,0.637,,,,,,,,,,,,,,,
35.0,35.0,ATTIJARI BANK,2021-09-23,-1.0,1.0,1.0,,,,,,,,,,,,,,,
36.0,36.0,ATTIJARI BANK,2021-10-21,0.664,1.0,0.664,,,,,,,,,,,,,,,
37.0,37.0,ATTIJARI BANK,2021-10-27,0.403,2.0,0.806,,,,,,,,,,,,,,,
38.0,38.0,ATTIJARI BANK,2021-11-04,-1.0,1.0,1.0,,,,,,,,,,,,,,,
39.0,39.0,ATTIJARI BANK,2021-11-15,0.946,1.0,0.946,,,,,,,,,,,,,,,
40.0,40.0,ATTIJARI BANK,2021-11-25,-0.769,1.0,0.769,,,,,,,,,,,,,,,
41.0,41.0,ATTIJARI BANK,2021-12-09,0.681,1.0,0.681,,,,,,,,,,,,,,,
42.0,42.0,ATTIJARI BANK,2021-12-15,0.72,1.0,0.72,,,,,,,,,,,,,,,
43.0,43.0,ATTIJARI BANK,2021-12-24,0.607,1.0,0.607,,,,,,,,,,,,,,,
44.0,44.0,ATTIJARI BANK,2022-01-03,-0.771,1.0,0.771,,,,,,,,,,,,,,,
45.0,45.0,ATTIJARI BANK,2022-01-04,-1.0,1.0,1.0,,,,,,,,,,,,,,,
46.0,46.0,ATTIJARI BANK,2022-01-06,-1.0,1.0,1.0,,,,,,,,,,,,,,,
47.0,47.0,ATTIJARI BANK,2022-01-07,0.0,1.0,0.0,,,,,,,,,,,,,,,
48.0,48.0,ATTIJARI BANK,2022-01-17,0.981,1.0,0.981,,,,,,,,,,,,,,,
49.0,49.0,ATTIJARI BANK,2022-01-22,1.0,1.0,1.0,,,,,,,,,,,,,,,
50.0,50.0,ATTIJARI BANK,2022-02-01,-0.761,1.0,0.761,,,,,,,,,,,,,,,
51.0,51.0,ATTIJARI BANK,2022-02-02,-0.526,1.0,0.526,,,,,,,,,,,,,,,
52.0,52.0,ATTIJARI BANK,2022-02-13,0.43,1.0,0.43,,,,,,,,,,,,,,,
53.0,53.0,ATTIJARI BANK,2022-02-14,-0.767,1.0,0.767,,,,,,,,,,,,,,,
54.0,54.0,ATTIJARI BANK,2022-02-17,-1.0,1.0,1.0,,,,,,,,,,,,,,,
55.0,55.0,ATTIJARI BANK,2022-02-24,0.0,1.0,0.0,,,,,,,,,,,,,,,
