VALEUR,SEANCE,Mean_Weighted_Sentiment,Article_Count,Sentiment_Intensity
ATTIJARI BANK,2021-01-04,-1.0,1,1.0
ATTIJARI BANK,2021-01-05,-1.0,1,1.0
ATTIJARI BANK,2021-01-18,0.375,1,0.375
ATTIJARI BANK,2021-01-26,0.958,1,0.958
ATTIJARI BANK,2021-01-27,-0.561,1,0.561
ATTIJARI BANK,2021-01-31,1.0,1,1.0
ATTIJARI BANK,2021-02-02,0.771,1,0.771
ATTIJARI BANK,2021-02-08,-1.0,1,1.0
ATTIJARI BANK,2021-02-10,0.379,1,0.379
ATTIJARI BANK,2021-02-11,0.0,1,0.0
ATTIJARI BANK,2021-02-12,-1.0,1,1.0
ATTIJARI BANK,2021-02-15,0.717,2,1.434
ATTIJARI BANK,2021-02-18,0.0,2,0.0
ATTIJARI BANK,2021-03-15,-0.741,1,0.741
ATTIJARI BANK,2021-03-24,-1.0,1,1.0
ATTIJARI BANK,2021-03-26,-1.0,1,1.0
ATTIJARI BANK,2021-03-29,-0.009500000000000008,2,1.5030000000000001
ATTIJARI BANK,2021-04-02,0.978,1,0.978
ATTIJARI BANK,2021-04-05,0.686,1,0.686
ATTIJARI BANK,2021-04-12,-0.02200000000000002,2,1.956
ATTIJARI BANK,2021-04-19,0.823,2,1.646
ATTIJARI BANK,2021-04-30,0.76,1,0.76
ATTIJARI BANK,2021-05-06,0.729,1,0.729
ATTIJARI BANK,2021-05-07,0.481,1,0.481
ATTIJARI BANK,2021-05-24,0.271,2,0.542
ATTIJARI BANK,2021-06-05,0.0,1,0.0
ATTIJARI BANK,2021-07-01,0.67,1,0.67
ATTIJARI BANK,2021-07-08,0.0,1,0.0
ATTIJARI BANK,2021-07-15,0.5003333333333333,3,1.501
ATTIJARI BANK,2021-07-27,1.0,1,1.0
ATTIJARI BANK,2021-08-31,0.918,1,0.918
ATTIJARI BANK,2021-09-07,0.778,1,0.778
ATTIJARI BANK,2021-09-09,-0.893,1,0.893
ATTIJARI BANK,2021-09-13,0.965,1,0.965
ATTIJARI BANK,2021-09-21,0.637,1,0.637
ATTIJARI BANK,2021-09-23,-1.0,1,1.0
ATTIJARI BANK,2021-10-21,0.664,1,0.664
ATTIJARI BANK,2021-10-27,0.403,2,0.806
ATTIJARI BANK,2021-11-04,-1.0,1,1.0
ATTIJARI BANK,2021-11-15,0.946,1,0.946
ATTIJARI BANK,2021-11-25,-0.769,1,0.769
ATTIJARI BANK,2021-12-09,0.681,1,0.681
ATTIJARI BANK,2021-12-15,0.72,1,0.72
ATTIJARI BANK,2021-12-24,0.607,1,0.607
ATTIJARI BANK,2022-01-03,-0.771,1,0.771
ATTIJARI BANK,2022-01-04,-1.0,1,1.0
ATTIJARI BANK,2022-01-06,-1.0,1,1.0
ATTIJARI BANK,2022-01-07,0.0,1,0.0
ATTIJARI BANK,2022-01-17,0.981,1,0.981
ATTIJARI BANK,2022-01-22,1.0,1,1.0
ATTIJARI BANK,2022-02-01,-0.761,1,0.761
ATTIJARI BANK,2022-02-02,-0.526,1,0.526
ATTIJARI BANK,2022-02-13,0.43,1,0.43
ATTIJARI BANK,2022-02-14,-0.767,1,0.767
ATTIJARI BANK,2022-02-17,-1.0,1,1.0
ATTIJARI BANK,2022-02-24,0.0,1,0.0
ATTIJARI BANK,2022-03-28,0.764,2,1.528
ATTIJARI BANK,2022-03-30,1.0,1,1.0
ATTIJARI BANK,2022-03-31,1.0,1,1.0
ATTIJARI BANK,2022-04-04,-0.0005000000000000004,2,1.999
ATTIJARI BANK,2022-04-05,-1.0,1,1.0
ATTIJARI BANK,2022-04-13,0.76,1,0.76
ATTIJARI BANK,2022-04-20,1.0,1,1.0
ATTIJARI BANK,2022-05-17,0.978,1,0.978
ATTIJARI BANK,2022-05-19,0.5,2,1.0
ATTIJARI BANK,2022-06-10,-0.514,1,0.514
ATTIJARI BANK,2022-06-16,0.318,2,0.636
ATTIJARI BANK,2022-06-20,0.0,1,0.0
ATTIJARI BANK,2022-06-30,0.0,1,0.0
ATTIJARI BANK,2022-07-07,0.748,1,0.748
ATTIJARI BANK,2022-07-21,1.0,1,1.0
ATTIJARI BANK,2022-07-22,-0.258,2,0.516
ATTIJARI BANK,2022-08-10,-0.937,1,0.937
ATTIJARI BANK,2022-08-23,0.859,1,0.859
ATTIJARI BANK,2022-08-26,1.0,1,1.0
ATTIJARI BANK,2022-09-15,0.0,1,0.0
ATTIJARI BANK,2022-09-19,-0.717,1,0.717
ATTIJARI BANK,2022-10-05,0.0,1,0.0
ATTIJARI BANK,2022-10-10,0.525,1,0.525
ATTIJARI BANK,2022-10-18,-0.769,1,0.769
ATTIJARI BANK,2022-10-19,-0.615,1,0.615
ATTIJARI BANK,2022-10-21,-0.1945,2,0.389
ATTIJARI BANK,2022-10-27,-0.925,1,0.925
ATTIJARI BANK,2022-11-11,0.0,1,0.0
ATTIJARI BANK,2022-11-14,0.0,1,0.0
ATTIJARI BANK,2022-11-19,-1.0,1,1.0
ATTIJARI BANK,2022-12-15,0.04149999999999998,2,1.879
ATTIJARI BANK,2022-12-20,-0.8223333333333334,3,2.467
ATTIJARI BANK,2022-12-21,-1.0,1,1.0
ATTIJARI BANK,2022-12-27,-1.0,1,1.0
ATTIJARI BANK,2023-01-02,0.0,1,0.0
ATTIJARI BANK,2023-01-04,-1.0,1,1.0
ATTIJARI BANK,2023-01-10,-0.749,1,0.749
ATTIJARI BANK,2023-01-11,0.653,1,0.653
ATTIJARI BANK,2023-01-12,-0.993,2,1.986
ATTIJARI BANK,2023-01-17,-1.0,1,1.0
ATTIJARI BANK,2023-01-18,-0.8365,2,1.673
ATTIJARI BANK,2023-01-20,0.11866666666666666,3,1.6440000000000001
ATTIJARI BANK,2023-01-24,-1.0,1,1.0
ATTIJARI BANK,2023-01-30,-1.0,1,1.0
ATTIJARI BANK,2023-02-06,-1.0,1,1.0
ATTIJARI BANK,2023-02-13,0.972,1,0.972
ATTIJARI BANK,2023-02-14,-0.199,2,1.4220000000000002
ATTIJARI BANK,2023-02-15,-0.25833333333333336,3,0.775
ATTIJARI BANK,2023-02-16,0.7284999999999999,2,1.4569999999999999
ATTIJARI BANK,2023-02-17,0.873,1,0.873
ATTIJARI BANK,2023-02-20,-1.0,1,1.0
ATTIJARI BANK,2023-02-22,-1.0,1,1.0
ATTIJARI BANK,2023-02-23,-1.0,1,1.0
ATTIJARI BANK,2023-02-24,-0.773,1,0.773
ATTIJARI BANK,2023-02-27,-0.5923333333333334,3,1.7770000000000001
ATTIJARI BANK,2023-03-07,-0.827,1,0.827
ATTIJARI BANK,2023-03-08,-1.0,1,1.0
ATTIJARI BANK,2023-03-12,0.403,1,0.403
ATTIJARI BANK,2023-03-13,0.0,1,0.0
ATTIJARI BANK,2023-03-17,-1.0,1,1.0
ATTIJARI BANK,2023-03-21,0.9884999999999999,2,1.9769999999999999
ATTIJARI BANK,2023-03-22,-0.776,1,0.776
ATTIJARI BANK,2023-03-24,0.448,1,0.448
ATTIJARI BANK,2023-04-03,0.5885,4,3.646
ATTIJARI BANK,2023-04-05,-0.53,1,0.53
ATTIJARI BANK,2023-04-06,-0.741,1,0.741
ATTIJARI BANK,2023-04-07,1.0,1,1.0
ATTIJARI BANK,2023-04-10,-0.811,1,0.811
ATTIJARI BANK,2023-04-19,0.30666666666666664,3,2.2279999999999998
ATTIJARI BANK,2023-04-24,-1.0,1,1.0
ATTIJARI BANK,2023-04-26,0.771,1,0.771
ATTIJARI BANK,2023-04-28,-1.0,1,1.0
ATTIJARI BANK,2023-05-03,-1.0,1,1.0
ATTIJARI BANK,2023-05-08,0.051000000000000045,2,1.272
ATTIJARI BANK,2023-05-10,-1.0,1,1.0
ATTIJARI BANK,2023-05-15,0.954,1,0.954
ATTIJARI BANK,2023-05-17,-0.496,1,0.496
ATTIJARI BANK,2023-05-19,-0.677,1,0.677
ATTIJARI BANK,2023-05-22,-0.3195,2,0.639
ATTIJARI BANK,2023-05-25,-0.374,1,0.374
ATTIJARI BANK,2023-05-30,-1.0,1,1.0
ATTIJARI BANK,2023-05-31,0.459,1,0.459
ATTIJARI BANK,2023-06-01,-1.0,1,1.0
ATTIJARI BANK,2023-06-02,-0.776,1,0.776
ATTIJARI BANK,2023-06-05,-0.759,1,0.759
ATTIJARI BANK,2023-06-06,-1.0,1,1.0
ATTIJARI BANK,2023-06-09,-0.769,1,0.769
ATTIJARI BANK,2023-06-16,-0.903,1,0.903
ATTIJARI BANK,2023-06-20,-0.717,1,0.717
ATTIJARI BANK,2023-06-22,-0.718,1,0.718
ATTIJARI BANK,2023-07-05,0.488,1,0.488
ATTIJARI BANK,2023-07-06,-0.769,1,0.769
ATTIJARI BANK,2023-07-10,0.648,1,0.648
ATTIJARI BANK,2023-07-11,0.0,1,0.0
ATTIJARI BANK,2023-07-14,-0.775,1,0.775
ATTIJARI BANK,2023-07-15,0.0,1,0.0
ATTIJARI BANK,2023-07-17,0.501,1,0.501
ATTIJARI BANK,2023-07-18,0.181,2,1.638
ATTIJARI BANK,2023-07-24,-0.536,1,0.536
ATTIJARI BANK,2023-07-26,0.0685,2,1.187
ATTIJARI BANK,2023-07-27,0.0,1,0.0
ATTIJARI BANK,2023-08-03,-0.9685,2,1.937
ATTIJARI BANK,2023-08-07,-1.0,1,1.0
ATTIJARI BANK,2023-08-18,-0.6735,2,1.347
ATTIJARI BANK,2023-08-23,0.0,1,0.0
ATTIJARI BANK,2023-08-28,0.4736666666666667,3,2.5789999999999997
ATTIJARI BANK,2023-08-30,0.68,1,0.68
ATTIJARI BANK,2023-08-31,0.0,2,0.0
ATTIJARI BANK,2023-09-01,0.4295,2,0.859
ATTIJARI BANK,2023-09-04,-0.68,1,0.68
ATTIJARI BANK,2023-09-15,-1.0,1,1.0
ATTIJARI BANK,2023-09-18,-0.779,1,0.779
ATTIJARI BANK,2023-09-20,1.0,1,1.0
ATTIJARI BANK,2023-09-21,-1.0,1,1.0
ATTIJARI BANK,2023-09-22,-1.0,2,2.0
ATTIJARI BANK,2023-09-25,-1.0,1,1.0
ATTIJARI BANK,2023-09-26,-1.0,1,1.0
ATTIJARI BANK,2023-10-03,-1.0,1,1.0
ATTIJARI BANK,2023-10-04,-0.131,2,1.738
ATTIJARI BANK,2023-10-05,0.482,1,0.482
ATTIJARI BANK,2023-10-06,0.689,1,0.689
ATTIJARI BANK,2023-10-11,-0.442,3,2.674
ATTIJARI BANK,2023-10-12,0.0,1,0.0
ATTIJARI BANK,2023-10-13,-0.639,1,0.639
ATTIJARI BANK,2023-10-23,0.15599999999999997,2,1.6520000000000001
ATTIJARI BANK,2023-11-13,-1.0,1,1.0
ATTIJARI BANK,2023-11-14,-1.0,1,1.0
ATTIJARI BANK,2023-11-16,0.0,2,0.0
